order_count_with_promo,price_amount,promo_amount,category_f_order_count_with_promo,category_f_promo_amount,label
0.0,0.0002508593861818,0.0,0.0,0.0,0
0.0,3.193425859701484e-05,0.0,0.0,0.0,0
0.0,9.290599603978104e-05,0.0,0.0,0.0,0
0.0,0.0008328918691302,0.0,0.0,0.0,0
0.0,9.050955839736656e-05,0.0,0.0,0.0,0
0.0,1.0758321552284429e-05,0.0,0.0,0.0,0
0.0,0.0019471754131408,0.0,0.0,0.0,0
0.0,0.0003151470993382,0.0,0.0,0.0,0
0.0,0.0129922582522824,0.0,0.0,0.0,0
0.0,0.0002077015903312,0.0,0.0,0.0,1
0.0,0.000364882102653,0.0,0.0,0.0,0
0.0,0.0002022048052394,0.0,0.0,0.0,0
0.0,0.0011608975438986,0.0,0.0,0.0,0
0.0,7.229592083135134e-05,0.0,0.0,0.0,0
0.0,0.0006991868177235,0.0,0.0,0.0,1
